"Base Token","Pool Token Balance","Pool Token"
"1INCH","9072.837441750909156986","0x6E1d23c4a06159986A852B540254E231589FdEB8"
"RLC","0.000000000","0x2d9D99D4Aac96987637F0Be8D1fa9930e0C4447d"
"TEMP","139271.123643923028724323","0x90872554Ca8bEAa24FA1E29111428F8581A5Dc3F"
"REN","395125.393594299127822333","0x49BDFdf9d103610413BE6ecB25c194Ce1d803BD3"
"COMP","410.748340440206746679","0x739682EF459F2288d64d15a16890804B715c058E"
"SFI","0.000000000000000000","0xb70fa6A2ddb5185756BC016F96D96c2201015972"
"UNI","3923.272710573293823428","0x05bf6ca5F348d9575f360d6e29775F2477047a8D"
"ZCN","279444.9696428394","0xb6279f7Ca49876f9529fDc7983d65A03A819e2d0"
"GRT","18302.343073517137274347","0x0C39C7F6b24ed0E30b453B83CF5d4CF2c5BD3A9E"
"renBTC","0.01780006","0x651e0a4bc7F13889A0d38dd72F399b4b8d2927b5"
"RARI","0.000000000000000000","0x6d223E23c9F945bCf87c6c151A4DDa69589d33cA"
"INST","0.000000000000000000","0x86284E900e93748A52D86153ce7B25FaBD04308C"
"ARCONA","0.000000000000000000","0xD3584D9FDFf3f6A23e2Bad04d3cb6aD56ed5F2CE"
"eRSDL","1451810.069529184663270888","0x4e96C8a57bcdf31d9C89b3DC9AdA6809050863d1"
"PLR","0.000000000000000000","0x3BCC0ceb27B94526C46c126C84992939e32a384c"
"LRC","30258.834719550000000000","0xFf76dDaac3801220EeFd4cf222d0bBb718814151"
"KTN","1600.364174146224606645","0xaEFC24b05099170d5981c1ED741D288EB6b2C578"
"DDX","71257.169073556471919940","0xa76acB9EC942a2a47689DCe280111e9C9A0eA636"
"MLN","414.393846781394866417","0x1D8c75890cEd80F10b18234158B0f39cd0dF9C67"
"IDLE","0.000000000000000000","0x700616e07eD859231562304A5eB58b498e231b43"
"SATA","192700.655149136484077369","0xCaf22463E210bD5e177d1a07A5b9afC8Eec54bA8"
"USDT","868838.861019","0xF4D96e11B531b99F1F04Fbd77d39859A7689348d"
"OCEAN","74073.203380052398333911","0xE56249D86e692F6cD9AaB091fc7b08eDFE03B7CB"
"BMI","0.000000000000000000","0xC9F704d7FC239A8Fd795F8A57B66B83498558175"
"NDX","0.000000000000000000","0xc6Dc200a627D6c8E91179b2619F2Ad17D6656677"
"FXS","490.814981436962200388","0xaD6DD99514366C1a1388a104861848b2971eEEbE"
"SHIBGF","13681701352236.732272894337833436","0xb0bf2dA95a49D247331b713b0A2f3161f0E35De1"
"DATA","39708.078112172501601143","0x82031B1Fc4469C4895FB4fDCf37a73E122190455"
"WXT","125033.274638975550392475","0xFE5fF0fda76EaE4Fc1fd361aA2aE69a05AB7C503"
"APW","78516.866546575098589912","0x0A95920Cd600478e2AF01b900e185cAB29c92BC2"
"rETH","49.288640500909861292","0xCDD8d805553899d9C89fFabB03B42a1f6ad983fc"
"THALES","498289.912191089276065052","0xE783e6a78431E07379a5a1Ad77Da04Dddd1785a8"
"EWTB","6000.000000000000000000","0xf83d4d92cA8F75a7DEe85e6434a2e231F23261fD"
"RPL","4167.673481897155064256","0x7bb2464326E623A353E00a37FA557628E865f014"
"wstETH","6.017657924427268510","0x5cc2C42BB9Ff433eEe306FfCe898C2de7866A0cd"
"xSUSHI","111.535514676308555012","0xb89BC052D590A56B5062D6f0022fAA8C005566e6"
"DRC","10037494","0x7956190E453b955B4410F003c479F8DFeeE944e3"
"FARM","5.784217153712789804","0x4E9A47aa88Dea5902001748a21869dE19992643e"
"DYDX","1077.454132142732935860","0xbB200f245d8E8A29Ddf9b3899c29EBeA565852a9"
